store_name,category,website,website_domain,promo_url,priority_score,discovered_via,captured_at
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/deals,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/weekly-ad,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/weeklyad,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/catalog,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/leaflet,13,common_path,2026-02-14T09:46:59+00:00
Harvey Norman,home appliances,https://www.harveynorman.ie/,www.harveynorman.ie,https://www.harveynorman.ie/outlet,13,common_path,2026-02-14T09:46:59+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/sale,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/sales,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/offer,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/promotion,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/clearance,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/deals,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/weekly-ad,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/weeklyad,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/catalog,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/leaflet,13,common_path,2026-02-14T09:47:05+00:00
Currys,gadgets/electronics,https://www.currys.ie/,www.currys.ie,https://www.currys.ie/outlet,13,common_path,2026-02-14T09:47:05+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/sale,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/sales,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/offer,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/promotion,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/clearance,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/deals,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/weekly-ad,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/weeklyad,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/catalog,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/leaflet,13,common_path,2026-02-14T09:47:09+00:00
La Mode,perfumes/beauty,https://www.lamode.ie/,www.lamode.ie,https://www.lamode.ie/outlet,13,common_path,2026-02-14T09:47:09+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/sale,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/sales,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/offer,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/promotion,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/clearance,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/deals,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/weekly-ad,13,common_path,2026-02-14T09:47:15+00:00
Khan,clothes,https://khan.ie/,khan.ie,https://khan.ie/weeklyad,13,common_path,2026-02-14T09:47:15+00:00
